ID,quality
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,4
12,6
13,6
14,8
15,6
16,6
17,6
18,6
19,6
20,6
21,4
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,8
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,5
81,6
82,5
83,6
84,5
85,5
86,5
87,7
88,6
89,6
90,6
91,4
92,7
93,6
94,6
95,6
96,7
97,5
98,5
99,5
100,5
101,6
102,6
103,6
104,6
105,6
106,7
107,6
108,6
109,6
110,6
111,6
112,5
113,6
114,5
115,7
116,6
117,5
118,5
119,5
120,5
121,6
122,5
123,7
124,5
125,6
126,6
127,6
128,6
129,4
130,8
131,5
132,3
133,6
134,6
135,5
136,6
137,6
138,7
139,6
140,7
141,6
142,6
143,8
144,7
145,7
146,6
147,7
148,7
149,6
150,7
151,6
152,7
153,6
154,7
155,6
156,3
157,8
158,6
159,7
160,6
161,6
162,7
163,6
164,7
165,3
166,3
167,6
168,7
169,7
170,7
171,8
172,7
173,7
174,7
175,7
176,7
177,7
178,6
179,7
180,7
181,3
182,3
183,7
184,6
185,7
186,6
187,6
188,3
189,6
190,7
191,7
192,6
193,7
194,7
195,7
196,7
197,6
198,6
199,6
200,7
201,6
202,6
203,7
204,7
205,6
206,7
207,7
208,7
209,8
210,7
211,7
212,7
213,6
214,6
215,6
216,7
217,7
218,7
219,6
220,6
221,7
222,6
223,6
224,6
225,6
226,7
227,7
228,7
229,3
230,7
231,7
232,7
233,6
234,7
235,6
236,7
237,6
238,6
239,6
240,7
241,6
242,7
243,7
244,6
245,7
246,8
247,6
248,6
249,7
250,7
251,6
252,7
253,6
254,7
255,7
256,6
257,7
258,7
259,7
260,7
261,6
262,6
263,6
264,8
265,6
266,6
267,6
268,7
269,6
270,7
271,7
272,7
273,6
274,7
275,8
276,7
277,6
278,7
279,7
280,6
281,8
282,7
283,7
284,6
285,7
286,6
287,7
288,6
289,7
290,6
291,6
292,7
293,3
294,6
295,7
296,7
297,7
298,7
299,6
300,7
301,7
302,6
303,6
304,6
305,7
306,7
307,7
308,6
309,6
310,7
311,7
312,6
313,6
314,7
315,7
316,6
317,6
318,6
319,8
320,6
321,6
322,6
323,7
324,7
325,6
326,7
327,7
328,7
329,6
330,7
331,7
332,7
333,7
334,6
335,7
336,8
337,6
338,6
339,7
340,6
341,6
342,7
343,7
344,7
345,6
346,7
347,7
348,7
349,6
350,7
351,6
352,7
353,7
354,6
355,7
356,6
357,7
358,7
359,7
360,6
361,6
362,6
363,7
364,8
365,7
366,7
367,7
368,6
369,6
370,6
371,6
372,7
373,7
374,7
375,6
376,6
377,3
378,7
379,7
380,6
381,6
382,6
383,8
384,7
385,7
386,6
387,7
388,6
389,6
390,7
391,6
392,7
393,6
394,9
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,5
403,6
404,5
405,5
406,6
407,7
408,6
409,5
410,5
411,7
412,6
413,5
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,4
422,3
423,7
424,3
425,3
426,5
427,7
428,5
429,3
430,3
431,5
432,7
433,5
434,3
435,5
436,3
437,7
438,7
439,7
440,8
441,3
442,8
443,7
444,3
445,3
446,3
447,8
448,3
449,3
450,8
451,8
452,3
453,3
454,3
455,3
456,7
457,7
458,3
459,8
460,8
461,8
462,8
463,3
464,8
465,7
466,3
467,7
468,4
469,7
470,8
471,7
472,3
473,8
474,8
475,8
476,3
477,7
478,7
479,3
480,8
481,8
482,3
483,8
484,3
485,3
486,7
487,7
488,3
489,8
490,3
491,3
492,7
493,3
494,3
495,7
496,8
497,3
498,7
499,3
500,3
501,3
502,3
503,3
504,3
505,8
506,8
507,3
508,3
509,7
510,7
511,3
512,7
513,3
514,8
515,7
516,3
517,3
518,8
519,7
520,8
521,8
522,7
523,8
524,3
525,8
526,8
527,3
528,3
529,3
530,7
531,3
532,4
533,8
534,3
535,8
536,7
537,8
538,3
539,3
540,3
541,8
542,4
543,3
544,3
545,8
546,7
547,3
548,7
549,3
550,7
551,8
552,7
553,8
554,7
555,3
556,8
557,3
558,8
559,4
560,3
561,3
562,3
563,8
564,7
565,8
566,3
567,7
568,3
569,8
570,3
571,7
572,3
573,7
574,3
575,3
576,4
577,8
578,8
579,3
580,4
581,8
582,3
583,4
584,3
585,8
586,3
587,7
588,3
589,8
590,8
591,3
592,8
593,3
594,3
595,3
596,7
597,3
598,3
599,3
600,8
601,3
602,3
603,3
604,8
605,3
606,3
607,3
608,3
609,8
610,7
611,8
612,3
613,3
614,8
615,8
616,3
617,4
618,3
619,3
620,7
621,8
622,3
623,8
624,7
625,7
626,3
627,8
628,8
629,7
630,7
631,7
632,8
633,8
634,3
635,7
636,7
637,3
638,8
639,8
640,3
641,3
642,8
643,3
644,8
645,3
646,3
647,3
648,4
649,3
650,3
651,3
652,7
653,3
654,3
655,3
656,8
657,3
658,8
659,3
660,8
661,3
662,7
663,3
664,3
665,8
666,3
667,3
668,7
669,8
670,3
671,4
672,8
673,8
674,3
675,3
676,3
677,4
678,3
679,8
680,3
681,3
682,3
683,3
684,3
685,7
686,3
687,8
688,8
689,8
690,7
691,3
692,3
693,8
694,7
695,8
696,3
697,7
698,3
699,3
700,8
701,7
702,3
703,8
704,3
705,8
706,7
707,8
708,7
709,8
710,3
711,7
712,8
713,8
714,8
715,7
716,3
717,3
718,3
719,8
720,8
721,8
722,7
723,8
724,3
725,8
726,3
727,3
728,7
729,3
730,7
731,3
732,7
733,7
734,3
735,8
736,6
737,6
738,8
